State,Algebra I PERCENT,Geometry PERCENT,ALgebra II PERCENT,Adv. Math 1 PERCENT,Calculus PERCENT,Biology Classes PERCENT,Chemistry Classes Percent,Physics  Classes PERCENT,Class room teachers FTE COUNT,Meeting all lic. & cert. Percent,First year of teaching PERCENT,Second year of teaching PERCENT,SAT-ACT Total per state,Total Enrollment Per State,AP total enrollment per state,SAT-ACT Percent per state,AP enrollent Percent Per state
Montana,0.91160221,0.917127072,0.928176796,0.784530387,0.580110497,0.961325967,0.817679558,0.64640884,11451.5,0.992359,0.06392,0.059078,10060,148432,5093,0.067775143,0.034312008
Nebraska,0.889589905,0.902208202,0.886435331,0.769716088,0.567823344,0.895899054,0.829652997,0.728706625,25330.9,0.996967,0.056529,0.050354,29299,325303,14391,0.090066799,0.044238756
Nevada,0.869047619,0.886904762,0.845238095,0.672619048,0.535714286,0.869047619,0.755952381,0.553571429,24964.51,0.956286,0.047272,0.059422,42105,485369,26327,0.086748433,0.054241206
New Hampshire,0.989690722,0.969072165,0.948453608,0.865979381,0.824742268,0.979381443,0.927835052,0.886597938,15102.27,0.981234,0.041822,0.039666,13457,179099,8033,0.075137215,0.044852288
New Jersey,0.916356877,0.916356877,0.899628253,0.741635688,0.689591078,0.923791822,0.881040892,0.771375465,120591.77,0.972173,0.052633,0.055622,115368,1372144,84266,0.084078639,0.061411922
New Mexico,0.916666667,0.891666667,0.891666667,0.575,0.366666667,0.854166667,0.7,0.504166667,21822.54,0.96673,0.075199,0.046547,34351,332026,18256,0.103458765,0.054983646
New York,0.934636119,0.871967655,0.824797844,0.669137466,0.545822102,0.913072776,0.780997305,0.635444744,229085.78,0.976744,0.05568,0.04686,205244,2705536,175333,0.075860754,0.064805273
North Carolina,0.920341394,0.914651494,0.921763869,0.803698435,0.507823613,0.914651494,0.748221906,0.446657183,125048.42,0.881468,0.024677,0.04226,103693,1558938,79106,0.066515153,0.050743519
North Dakota,0.923076923,0.852071006,0.887573964,0.73964497,0.319526627,0.928994083,0.792899408,0.455621302,9414.06,0.994726,0.05671,0.052283,6888,114896,3506,0.059949868,0.030514552
Ohio,0.908629442,0.920812183,0.920812183,0.829441624,0.629441624,0.934010152,0.829441624,0.812182741,108454.13,0.995005,0.043231,0.042355,170789,1732939,64662,0.098554537,0.037313489
Oklahoma,0.94026975,0.924855491,0.911368015,0.689788054,0.290944123,0.934489403,0.710982659,0.263969171,42829.06,0.995377,0.069317,0.048626,49575,693996,27327,0.071434129,0.039376308
Oregon,0.863013699,0.81369863,0.805479452,0.638356164,0.44109589,0.794520548,0.646575342,0.556164384,29910.57,0.987279,0.057017,0.046642,27914,581643,28734,0.047991637,0.049401437
Pennsylvania,0.897149938,0.862453532,0.852540273,0.769516729,0.703841388,0.879801735,0.826517968,0.77819083,123099.49,0.988993,0.0454,0.048667,118797,1720164,92654,0.069061438,0.053863469
Rhode Island,0.938461538,0.938461538,0.923076923,0.8,0.738461538,0.938461538,0.861538462,0.769230769,11445.89,0.984317,0.039999,0.059047,12002,142232,6804,0.084383261,0.047837336
South Carolina,0.875432526,0.885813149,0.878892734,0.809688581,0.553633218,0.892733564,0.844290657,0.647058824,52233.59,0.987912,0.058559,0.048646,55254,780670,33288,0.070777665,0.042640296
South Dakota,0.907692308,0.882051282,0.846153846,0.641025641,0.348717949,0.917948718,0.794871795,0.564102564,10153.16,0.993035,0.053959,0.046991,7598,138768,3733,0.054753257,0.026901015
Tennessee,0.884259259,0.888888889,0.872685185,0.650462963,0.534722222,0.888888889,0.865740741,0.615740741,68358.96,0.9783,0.066672,0.051106,110477,989407,36779,0.111659812,0.037172771
Texas,0.902929602,0.8972453,0.847398338,0.74376913,0.467861828,0.899868824,0.846086576,0.835155225,363968.79,0.976105,0.082238,0.073451,321967,5397857,384870,0.05964719,0.071300518
Utah,0.724683544,0.715189873,0.64556962,0.436708861,0.363924051,0.85443038,0.509493671,0.5,30355.62,0.953552,0.088674,0.10525,56713,662394,35621,0.085618227,0.053776151
Vermont,0.835820896,0.895522388,0.895522388,0.820895522,0.791044776,0.865671642,0.805970149,0.791044776,8016.11,0.987722,0.049195,0.042582,4871,83057,3429,0.058646472,0.041284901
Virginia,0.923766816,0.914798206,0.816143498,0.757847534,0.677130045,0.928251121,0.789237668,0.69955157,94148.94,0.960101,0.058035,0.04973,80314,1294226,91346,0.062055622,0.070579636
Washington,0.750362845,0.764876633,0.674891147,0.509433962,0.387518142,0.722786647,0.538461538,0.447024673,60544.67,0.992277,0.035876,0.049661,60160,1120229,67798,0.053703305,0.060521554
West Virginia,0.972413793,0.95862069,0.95862069,0.862068966,0.682758621,0.95862069,0.84137931,0.634482759,17984.51,0.974583,0.045769,0.045966,20754,271404,11508,0.076469028,0.042401733
Wisconsin,0.895695364,0.860927152,0.82781457,0.75,0.645695364,0.885761589,0.822847682,0.718543046,61000.43,0.977926,0.054146,0.048036,64878,863601,60779,0.075124971,0.070378566
Wyoming,0.96039604,0.920792079,0.891089109,0.643564356,0.475247525,0.940594059,0.712871287,0.564356436,7653.31,0.994452,0.049326,0.054736,7395,94304,3322,0.07841661,0.035226502
Puerto Rico,0.106060606,0.863636364,0.852272727,0.53030303,0.060606061,0.84469697,0.818181818,0.742424242,24294,0.830699,0.040463,0.051988,‡,348330,6984,#VALUE!,0.020049953
